Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
3801,SaGa Frontier 2,PS,2000.0,Role-Playing,7.4,,Square EA  ,SquareSoft  ,0.1,0.07,0.71,0.06,0.94
3802,NBA 2K14,XOne,2013.0,Sports,,,2K Sports  ,Visual Concepts  ,0.72,0.12,,0.09,0.94
3803,NCAA Football 10,X360,2009.0,Sports,8.1,,EA Sports  ,EA Tiburon  ,0.87,,,0.07,0.94
3804,Lego Batman 3: Beyond Gotham,X360,2014.0,Action,,,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.48,0.37,,0.08,0.94
3805,MLB 2000,PS,1999.0,Sports,,,Sony Computer Entertainment  ,989 Sports  ,0.52,0.35,,0.06,0.94
3806,EA Sports Active 2,PS3,2010.0,Sports,8.0,,Electronic Arts  ,EA Vancouver  ,0.54,0.27,,0.12,0.94
3807,The Sims 2,DS,2005.0,Simulation,,,Electronic Arts  ,Maxis  ,0.81,0.05,,0.07,0.94
3808,Prince of Persia: The Sands of Time,XB,2003.0,Adventure,9.0,,Ubisoft  ,Ubisoft Montreal  ,0.57,0.33,,0.04,0.94
3809,Hot Shots Golf Fore!,PS2,2004.0,Sports,,,Sony Computer Entertainment  ,Clap Hanz  ,0.46,0.36,,0.12,0.94
3810,MLB 06: The Show,PS2,2006.0,Sports,,,Sony Computer Entertainment  ,SCEA San Diego Studios  ,0.78,0.03,,0.13,0.94
3811,Sniper: Ghost Warrior,PC,2010.0,Shooter,5.4,,City Interactive  ,City Interactive  ,,0.13,,0.03,0.15
3812,NHL 2003,PS2,2002.0,Sports,,,EA Sports  ,EA Canada  ,0.46,0.36,,0.12,0.93
3813,SingStar Abba,PS3,2008.0,Misc,,,Sony Computer Entertainment  ,SCEE London Studio  ,0.27,0.51,,0.16,0.93
3814,MLB 12: The Show,PS3,2012.0,Sports,,,Sony Computer Entertainment America  ,SCE San Diego Studio  ,0.86,,,0.07,0.93
3815,Monster Trucks / Quad Desert Fury Double Value!,GBA,2005.0,Racing,,,Majesco  ,Skyworks Technologies  ,0.67,0.25,,0.02,0.93
3816,Tony Hawk's Pro Skater 4,XB,2002.0,Sports,,,Activision  ,Neversoft Entertainment  ,0.59,0.3,,0.04,0.93
3817,Kingdom Hearts Re:coded,DS,2011.0,Role-Playing,6.8,,Square Enix  ,High Horse Entertainment  ,0.53,0.09,0.27,0.05,0.93
3818,FIFA Street (2012),X360,2012.0,Sports,,,EA Sports  ,EA Canada  ,0.21,0.63,,0.1,0.93
3819,Guitar Hero: Metallica,Wii,2009.0,Misc,8.9,,Activision  ,BudCat Creations  ,0.4,0.43,,0.1,0.93
3820,Fallout 76,XOne,2018.0,Role-Playing,5.1,,Bethesda Softworks  ,Bethesda Game Studios  ,0.59,0.26,,0.09,0.93
3821,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.,GBA,2005.0,Misc,,,THQ  ,Vicarious Visions  ,0.67,0.25,,0.02,0.93
3822,Monster High: Ghoul Spirit,DS,2011.0,Adventure,,,THQ  ,THQ  ,0.69,0.16,,0.07,0.93
3823,Spider-Man,2600,1982.0,Action,,,Parker Bros.  ,Parker Bros.  ,0.87,0.05,,0.01,0.93
3824,Castlevania II: Simon's Quest,NES,1988.0,Platform,,,Konami  ,Konami  ,0.45,0.06,0.42,,0.93
3825,Mega Man 4,NES,1992.0,Platform,,,Capcom  ,Capcom  ,0.51,0.09,0.32,0.01,0.93
3826,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999.0,Platform,,,Activision  ,Traveller's Tales  ,0.71,0.2,,0.01,0.93
3827,Build-A-Bear Workshop,DS,2007.0,Simulation,,,Game Factory  ,Neko Entertainment  ,0.85,0.01,,0.07,0.93
3828,Bayonetta,X360,2010.0,Action,8.9,9.5,Sega  ,PlatinumGames  ,0.51,0.25,0.09,0.08,0.93
3829,Teenage Mutant Ninja Turtles,GBA,2003.0,Action,,,Konami  ,Konami  ,0.67,0.25,,0.02,0.93
3830,MLB 07: The Show,PS2,2007.0,Sports,,,Sony Computer Entertainment  ,SCE San Diego Studio  ,0.77,0.03,,0.13,0.93
3831,Cars,GC,2006.0,Racing,7.6,,THQ  ,Rainbow Studios  ,0.72,0.19,,0.03,0.93
3832,Jak and Daxter Collection,PS3,2012.0,Platform,,,Sony Computer Entertainment  ,Naughty Dog  ,0.6,0.18,,0.15,0.93
3833,Operation Flashpoint: Dragon Rising,X360,2009.0,Shooter,7.4,,Codemasters  ,Codemasters  ,0.36,0.45,0.02,0.1,0.93
3834,The Talos Principle,PC,2014.0,Puzzle,,,Devolver Digital  ,Croteam  ,,,,,
3835,Monster Hunter: World,XOne,2018.0,Action,9.4,,Capcom  ,Capcom  ,0.67,0.17,,0.09,0.93
3836,LEGO The Lord of the Rings,Wii,2012.0,Misc,,,Warner Bros. Interactive Entertainment  ,Unknown  ,0.48,0.37,,0.08,0.93
3837,SnoCross Championship Racing,PS,2000.0,Racing,,,Crave Entertainment  ,UDS  ,0.52,0.35,,0.06,0.93
3838,NCAA Football 13,PS3,2012.0,Sports,7.1,,EA Sports  ,EA Tiburon  ,0.82,,,0.11,0.93
3839,Phoenix Wright: Ace Attorney,DS,2005.0,Adventure,8.1,,Capcom  ,Capcom  ,0.44,0.05,0.39,0.05,0.93
3840,NCAA Football 11,X360,2010.0,Sports,8.5,,EA Sports  ,EA Tiburon  ,0.86,,,0.06,0.93
3841,Teenage Mutant Ninja Turtles,PS2,2003.0,Action,,,Konami  ,Konami  ,0.45,0.35,,0.12,0.92
3842,Top Gun: Combat Zones,PS2,2001.0,Simulation,,,Titus  ,Digital Integration  ,0.45,0.35,,0.12,0.92
3843,Cars,Wii,2006.0,Racing,,,THQ  ,Rainbow Studios  ,0.83,0.03,,0.07,0.92
3844,007: The World is not Enough,PS,2000.0,Shooter,6.4,,Electronic Arts  ,Black Ops Entertainment  ,0.51,0.35,,0.06,0.92
3845,Overwatch,PC,2016.0,Shooter,9.5,,Blizzard Entertainment  ,Blizzard Entertainment  ,0.37,0.48,,0.07,0.92
3846,NHL 98,PS,1997.0,Sports,,,EA Sports  ,EA Canada  ,0.51,0.35,,0.06,0.92
3847,Dante's Inferno,X360,2010.0,Action,7.0,,Electronic Arts  ,Visceral Games  ,0.63,0.2,0.02,0.08,0.92
3848,Nickelodeon Fit,Wii,2010.0,Sports,,,2K Play  ,High Voltage Software  ,0.76,0.09,,0.07,0.92
3849,NCAA Football 14,PS3,2013.0,Sports,7.7,,EA Sports  ,EA Tiburon  ,0.75,,,0.17,0.92
3850,Space Jam,PS,1996.0,Sports,,,Acclaim Entertainment  ,Sculptured Software  ,0.51,0.35,,0.06,0.92
3851,SpongeBob SquarePants: The Yellow Avenger,PSP,2006.0,Action,5.7,,THQ  ,Tantalus Interactive  ,0.55,0.21,,0.16,0.92
3852,Balloon Fight,NES,1986.0,Platform,,,Nintendo  ,Nintendo R&D1  ,0.39,0.09,0.43,0.01,0.92
3853,Knockout Kings 2000,N64,1999.0,Fighting,,,EA Sports  ,Black Ops Entertainment  ,0.63,0.27,,0.02,0.92
3854,Far Cry 3,PC,2012.0,Shooter,,,Ubisoft  ,Ubisoft Montreal  ,0.22,0.64,,0.06,0.92
3855,SSX,PS3,2012.0,Sports,,,EA Sports  ,EA Canada  ,0.35,0.42,0.02,0.13,0.92
3856,WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,7.8,,THQ  ,Yuke's Media Creations  ,0.58,0.26,,0.08,0.92
3857,Xenoblade Chronicles,Wii,2012.0,Role-Playing,9.3,,Nintendo  ,Monolith Soft  ,0.43,0.25,0.16,0.07,0.92
3858,Crysis 3,X360,2013.0,Shooter,7.6,,Electronic Arts  ,Crytek  ,0.51,0.32,0.01,0.08,0.92
3859,Killzone: Mercenary,PSV,2013.0,Misc,,,Sony Computer Entertainment America  ,Guerrilla Games  ,0.2,0.47,0.04,0.2,0.92
3860,Farming Simulator 2015,PC,2014.0,Simulation,,,Focus Home Interactive  ,Giants Software  ,0.09,0.94,,0.07,1.1
3861,Sonic Riders,GC,2006.0,Racing,,,Sega  ,Sonic Team  ,0.71,0.18,,0.03,0.92
3862,Starsky & Hutch,PS2,2003.0,Racing,6.0,,Gotham Games  ,Minds-Eye Productions  ,0.45,0.35,,0.12,0.92
3863,Tobal No.1,PS,1996.0,Fighting,7.7,,Sony Computer Entertainment  ,DreamFactory  ,0.12,0.08,0.66,0.06,0.92
3864,Blue Dragon,X360,2007.0,Role-Playing,7.7,,Microsoft Game Studios  ,Mistwalker Corporation / Artoon  ,0.3,0.33,0.21,0.08,0.92
3865,BUZZ! Quiz World,PS3,2009.0,Misc,7.8,,Sony Computer Entertainment  ,Magenta Software  ,0.16,0.58,,0.18,0.92
3866,Kung Fu Panda,Wii,2008.0,Platform,,,Activision  ,XPEC  ,0.5,0.32,,0.09,0.92
3867,EA Sports Grand Slam Tennis,Wii,2009.0,Sports,7.9,,EA Sports  ,EA Vancouver  ,0.28,0.51,0.02,0.11,0.92
3868,Dynasty Warriors 7,PS3,2011.0,Action,5.8,,Tecmo Koei  ,Omega Force  ,0.25,0.14,0.46,0.06,0.91
3869,Portal Knights,PC,2016.0,Role-Playing,,,505 Games  ,Keen Games  ,,,,,
3870,Street Hoops,PS2,2002.0,Sports,,,Activision  ,Black Ops Entertainment  ,0.45,0.35,,0.12,0.91
3871,Crysis 3,PS3,2013.0,Shooter,8.2,,Electronic Arts  ,Crytek  ,0.26,0.48,0.03,0.14,0.91
3872,Knockout Kings 2002,PS2,2002.0,Sports,,,EA Sports  ,Black Ops Entertainment  ,0.45,0.35,,0.12,0.91
3873,Tom Clancy's EndWar,X360,2008.0,Strategy,8.0,,Ubisoft  ,Ubisoft Shanghai  ,0.58,0.24,0.01,0.09,0.91
3874,Tokyo Xtreme Racer 3,PS2,2003.0,Racing,,,Crave Entertainment  ,Genki  ,0.35,0.27,0.21,0.09,0.91
3875,Sonic Riders: Zero Gravity,Wii,2008.0,Racing,5.8,,Sega  ,Sonic Team  ,0.48,0.32,0.02,0.09,0.91
3876,Colin McRae Rally 2.0,PS,2000.0,Racing,8.3,,Codemasters  ,Codemasters  ,0.02,0.8,0.02,0.07,0.91
3877,Glover,N64,1998.0,Platform,,,Hasbro Interactive  ,Interactive Studios Ltd.  ,0.72,0.17,,0.01,0.91
3878,LEGO Pirates of the Caribbean: The Video Game,DS,2011.0,Action,6.8,,Disney Interactive Studios  ,Traveller's Tales  ,0.34,0.47,,0.1,0.91
3879,Namco Museum,XB,2002.0,Misc,,,Namco  ,Mass Media  ,0.77,0.11,,0.04,0.91
3880,AMF Bowling Pinbusters!,Wii,2007.0,Sports,,,Mud Duck Productions  ,Atomic Planet Entertainment  ,0.84,0.0,,0.07,0.91
3881,Skylanders: Trap Team,X360,2014.0,Platform,,,Activision  ,Toys for Bob  ,0.55,0.27,,0.08,0.91
3882,Super Momotarou Dentetsu III,SNES,1994.0,Simulation,,,Hudson Soft  ,Hudson Soft  ,,,0.91,0.0,0.91
3883,Sonic Mega Collection Plus,XB,2004.0,Misc,,,Sega  ,Sonic Team  ,0.61,0.26,,0.04,0.91
3884,Operation Flashpoint: Dragon Rising,PS3,2009.0,Shooter,7.3,,Codemasters  ,Codemasters  ,0.23,0.46,0.05,0.17,0.91
3885,Spelunky,PC,2008.0,Platform,,,"Mossmouth, LLC  ","Mossmouth, LLC  ",,,,,
3886,Mx vs. ATV Reflex,PS3,2009.0,Racing,,,THQ  ,Rainbow Studios  ,0.52,0.26,,0.13,0.91
3887,Assassin's Creed,PC,2008.0,Adventure,7.6,,Ubisoft  ,Ubisoft Montreal  ,0.01,0.84,,0.06,0.91
3888,Tiger Woods PGA Tour 2002,PS2,2002.0,Sports,,,EA Sports  ,EA Sports  ,0.44,0.35,,0.12,0.9
3889,The Witcher 2: Assassins of Kings,X360,2012.0,Role-Playing,,,Warner Bros. Interactive  ,CD Projekt Red Studio  ,0.48,0.33,0.02,0.08,0.9
3890,Homefront,PS3,2011.0,Shooter,6.6,,THQ  ,Kaos Studios  ,0.32,0.4,0.04,0.15,0.9
3891,Lost Odyssey,X360,2008.0,Role-Playing,7.5,9.3,Microsoft Game Studios  ,Mistwalker Corporation / Feelplus Inc.  ,0.45,0.26,0.11,0.08,0.9
3892,DJ Hero,PS3,2009.0,Misc,8.5,,Activision  ,FreeStyleGames  ,0.42,0.34,,0.15,0.9
3893,Marvel: Ultimate Alliance 2,X360,2009.0,Role-Playing,7.4,,Activision  ,Vicarious Visions  ,0.68,0.15,,0.08,0.9
3894,Cars 2,Wii,2011.0,Racing,8.0,,Disney Interactive Studios  ,Avalanche Software  ,0.43,0.38,,0.1,0.9
3895,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996.0,Racing,,,ASCII Entertainment  ,KID Corporation  ,,,0.9,,0.9
3896,MLB 2005,PS2,2004.0,Sports,,,Sony Computer Entertainment  ,989 Sports  ,0.44,0.35,,0.12,0.9
3897,Burnout Revenge,PS2,2005.0,Racing,9.0,,Electronic Arts  ,Criterion Games  ,0.75,0.03,,0.12,0.9
3898,SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,7.0,,Sony Computer Entertainment  ,Zipper Interactive  ,0.66,0.12,0.04,0.09,0.9
3899,James Cameron's Avatar: The Game,PS3,2009.0,Action,5.8,,Ubisoft  ,Ubisoft Montreal  ,0.32,0.43,,0.15,0.9
3900,Killzone: Liberation,PSP,2006.0,Shooter,7.8,,Sony Computer Entertainment  ,Guerrilla Games  ,0.44,0.28,,0.19,0.9
3901,The Biggest Loser: Ultimate Workout,X360,2010.0,Sports,8.0,,THQ  ,Blitz Games  ,0.73,0.1,,0.07,0.9
3902,3Xtreme,PS,1999.0,Action,2.9,,989 Studios  ,Unknown  ,0.5,0.34,,0.06,0.9
3903,Hot Shots Tennis,PS2,2007.0,Sports,,,Sony Computer Entertainment  ,Clap Hanz  ,0.17,0.13,0.55,0.05,0.9
3904,Far Cry 4,X360,2014.0,Shooter,,,Ubisoft  ,Ubisoft Montreal  ,0.45,0.37,,0.08,0.9
3905,Resistance: Retribution,PSP,2009.0,Shooter,8.0,7.6,Sony Computer Entertainment  ,SCEA Bend Studio  ,0.27,0.36,0.05,0.22,0.9
3906,Call of Juarez: Bound in Blood,All,2009.0,Shooter,,,Ubisoft  ,Techland  ,,,,,
3907,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012.0,Role-Playing,,,Square Enix  ,Square Enix  ,,,0.96,,0.96
3908,Legend of Grimrock,PC,2012.0,Role-Playing,,,Almost Human  ,Almost Human Games  ,,,,,
3909,Ni no Kuni II: Revenant Kingdom,All,2018.0,Role-Playing,,,Bandai Namco Entertainment  ,Level 5  ,,,,,
3910,Persona 4 Golden,PC,2020.0,Role-Playing,,,Sega  ,Atlus  ,,,,,
3911,RalliSport Challenge,XB,2002.0,Racing,,,Microsoft  ,Digital Illusions  ,0.39,0.16,,0.02,0.57
3912,Final Fantasy X / X-2 HD Remaster,PS4,2015.0,Role-Playing,,,Square Enix  ,Square Enix  ,0.34,0.36,0.07,0.14,0.9
3913,Sonic Heroes,XB,2004.0,Platform,,,Sega  ,Sonic Team  ,0.41,0.43,0.01,0.05,0.9
3914,Madden NFL 99,N64,1998.0,Sports,,,EA Sports  ,EA Tiburon  ,0.84,0.05,,0.01,0.9
3915,Spider-Man 3,PS2,2007.0,Platform,4.4,,Activision  ,Vicarious Visions  ,0.74,0.03,0.01,0.12,0.9
3916,James Bond 007: Agent Under Fire,XB,2002.0,Shooter,,,Electronic Arts  ,EA Redwood Shores  ,0.65,0.22,,0.03,0.9
3917,Reus,PC,2013.0,Misc,,,Abbey Games  ,Unknown  ,,,,,
3918,X-Men Legends,XB,2004.0,Role-Playing,8.2,,Activision  ,Raven Software  ,0.62,0.24,,0.04,0.9
3919,NBA Live 2005,XB,2004.0,Sports,,,EA Sports  ,EA Canada  ,0.81,0.05,,0.04,0.9
3920,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009.0,Adventure,,,LucasArts  ,Traveller's Tales  ,0.47,0.3,,0.13,0.9
3921,Harry Potter: Quidditch World Cup,PS2,2003.0,Sports,,,Electronic Arts  ,Electronic Arts  ,0.44,0.34,,0.11,0.9
3922,Buzz! Master Quiz,PSP,2008.0,Misc,7.0,,Sony Computer Entertainment  ,Relentless Software  ,0.22,0.44,,0.24,0.9
3923,Madagascar,GBA,2005.0,Platform,5.5,,Activision  ,Vicarious Visions  ,0.62,0.24,,0.03,0.89
3924,God of War Saga,PS3,2012.0,Action,,,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,0.74,,,0.15,0.89
3925,Injustice 2,XOne,2017.0,Fighting,,,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,0.65,0.16,,0.09,0.89
3926,Blitz: The League,PS2,2005.0,Sports,7.8,,Midway Games  ,Midway Games  ,0.74,0.03,,0.12,0.89
3927,Minecraft: Story Mode,PS3,2015.0,Adventure,,,Mojang  ,Telltale Games  ,0.32,0.43,,0.15,0.89
3928,TouchMaster 2,DS,2008.0,Puzzle,,,Midway Games  ,Midway Studios San Diego  ,0.3,0.49,,0.1,0.89
3929,Pure,PS3,2008.0,Racing,7.0,,Disney Interactive Studios  ,Black Rock Studio  ,0.42,0.33,0.0,0.14,0.89
3930,Ni no Kuni II: Revenant Kingdom,PS4,2018.0,Role-Playing,8.7,,Namco Bandai Games  ,Level 5  ,0.33,0.31,0.12,0.13,0.89
3931,Tiger Woods PGA Tour 06,PS2,2005.0,Sports,,,EA Sports  ,EA Sports  ,0.74,0.03,,0.12,0.89
3932,Classic NES Series: The Legend of Zelda,GBA,2004.0,Adventure,,,Nintendo  ,Nintendo  ,0.46,0.17,0.24,0.02,0.89
3933,Fire Emblem: The Sacred Stones,GBA,2005.0,Strategy,8.4,,Nintendo  ,Intelligent Systems  ,0.42,0.16,0.3,0.02,0.89
3934,Rhythm Heaven Fever,Wii,2012.0,Music,,,Nintendo  ,Nintendo / TNX  ,0.11,,0.77,0.01,0.89
3935,Pokémon Card GB2: GRdan Sanjou,GB,2001.0,Strategy,,,Nintendo  ,Hudson Soft  ,,,0.89,,0.89
3936,Metal Gear Solid V: Ground Zeroes,PC,2014.0,Action-Adventure,8.5,,Konami Digital Entertainment  ,Kojima Productions  ,,0.01,,0.0,0.01
3937,God of War III Remastered,PS4,2015.0,Action,,,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,0.4,0.33,0.02,0.15,0.89
3938,Finding Nemo,GC,2003.0,Action,,,THQ  ,Traveller's Tales  ,0.69,0.18,,0.02,0.89
3939,Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,,,EA Sports  ,EA Tiburon  ,0.52,0.25,,0.11,0.89
3940,Dissidia 012: Duodecim Final Fantasy,PSP,2011.0,Fighting,8.3,,Square Enix  ,Square Enix  ,0.21,0.13,0.46,0.09,0.89
3941,NFL 2K2,PS2,2001.0,Sports,,,Sega  ,Visual Concepts  ,0.44,0.34,,0.11,0.89
3942,Resident Evil: Revelations,3DS,2012.0,Action,7.8,,Capcom  ,Capcom  ,0.3,0.23,0.3,0.05,0.89
3943,Call of Duty: World at War,DS,2008.0,Shooter,7.4,,Activision  ,n-Space  ,0.56,0.25,,0.08,0.89
3944,CSI: Hard Evidence,Wii,2008.0,Adventure,,,Ubisoft  ,Telltale Games  ,0.36,0.43,,0.1,0.89
3945,The Tomb Raider Trilogy,PS3,2011.0,Action,8.5,,Square Enix  ,Crystal Dynamics  ,0.27,0.48,,0.14,0.89
3946,Assassin's Creed III,PC,2012.0,Action-Adventure,8.6,,Ubisoft  ,Ubisoft Montreal  ,0.28,0.54,,0.07,0.89
3947,Fortnite,PS4,2017.0,Action,,,Gearbox Software  ,Epic Games  ,0.42,0.32,,0.15,0.89
3948,Fossil Fighters,DS,2009.0,Role-Playing,6.9,,Nintendo  ,RED Entertainment  ,0.83,,,0.06,0.89
3949,FIFA Soccer 09 All-Play,Wii,2008.0,Sports,,,Electronic Arts  ,EA Canada  ,0.28,0.52,0.0,0.09,0.89
3950,Samba De Amigo,Wii,2008.0,Misc,6.7,,Sega  ,Gearbox Software  ,0.41,0.37,0.01,0.09,0.89
3951,MLB 2001,PS,2000.0,Sports,,,Sony Computer Entertainment  ,989 Sports  ,0.49,0.34,,0.06,0.89
3952,Duke Nukem Forever,PC,2011.0,Shooter,4.6,,2K Games  ,Gearbox Software  ,0.18,0.17,,0.05,0.4
3953,The Simpsons Game,PS3,2007.0,Platform,7.5,,Electronic Arts  ,EA Redwood Shores  ,0.38,0.36,,0.14,0.89
3954,SingStar Anthems,PS2,2006.0,Misc,,,Sony Computer Entertainment  ,SCEE London Studio  ,,0.68,,0.2,0.89
3955,Seiken Densetsu 3,SNES,1995.0,Role-Playing,,,Square  ,SquareSoft  ,,,0.89,0.0,0.89
3956,Mega Man 8 Anniversary Collector's Edition,PS,1997.0,Platform,,,Capcom  ,Capcom  ,0.44,0.3,0.09,0.06,0.88
3957,Buzz! Quiz TV,PS3,2008.0,Misc,7.9,,Sony Computer Entertainment  ,Relentless Software  ,0.28,0.47,,0.13,0.88
3958,Tales of the Abyss,All,2006.0,Role-Playing,,,Namco Bandai Games  ,Namco Tales Studio  ,,,,,
3959,F1 2010,X360,2010.0,Racing,8.4,,Codemasters  ,Codemasters Birmingham  ,0.18,0.59,0.01,0.1,0.88
3960,Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,7.7,,Ubisoft  ,Techland  ,0.35,0.38,0.01,0.15,0.88
3961,The Lord of the Rings: War in the North,X360,2011.0,Role-Playing,6.6,,Warner Bros. Interactive  ,Snowblind Studios  ,0.55,0.24,0.0,0.08,0.88
3962,Star Wars: The Force Unleashed,DS,2008.0,Action,,,LucasArts  ,n-Space  ,0.5,0.29,0.0,0.09,0.88
3963,Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,9.0,,Activision  ,Infinity Ward  ,0.01,0.79,,0.08,0.88
3964,LittleBigPlanet Karting,PS3,2012.0,Racing,,,Sony Computer Entertainment  ,United Front Games  ,0.42,0.31,0.01,0.14,0.88
3965,Monster 4x4: World Circuit,Wii,2006.0,Racing,,,Ubisoft  ,Ubisoft Montreal  ,0.8,0.0,0.01,0.07,0.88
3966,NBA 2K6,PS2,2005.0,Action,,,2K Sports  ,Unknown  ,0.43,0.34,,0.11,0.88
3967,Sonic Chronicles: The Dark Brotherhood,DS,2008.0,Role-Playing,7.3,,Sega  ,BioWare Corp.  ,0.5,0.29,0.01,0.08,0.88
3968,Buzz! The Mega Quiz,PS2,2007.0,Misc,,,Sony Computer Entertainment  ,Relentless Software  ,0.32,0.06,,0.5,0.88
3969,Star Wars: Rebel Assault II - The Hidden Empire,PS,1996.0,Shooter,,,LucasArts  ,Factor 5  ,0.49,0.33,,0.06,0.88
3970,Rock Band 3,X360,2010.0,Misc,9.4,,MTV Games  ,Harmonix Music Systems  ,0.73,0.09,,0.06,0.88
3971,F1 2009,Wii,2009.0,Racing,6.8,,Codemasters  ,Sumo Digital  ,0.15,0.62,,0.11,0.88
3972,LEGO Harry Potter Collection,PS4,2016.0,Action,,,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.07,0.68,,0.13,0.88
3973,WWE SmackDown vs. Raw 2011,X360,2010.0,Fighting,7.1,,THQ  ,JAKKS Pacific  ,0.44,0.35,0.0,0.08,0.88
3974,ESPN NHL 2K5,PS2,2004.0,Sports,,,Sega  ,Kush Games  ,0.43,0.33,,0.11,0.88
3975,Galactic Civilizations,Series,2003.0,Strategy,,,Strategy First  ,Stardock  ,,,,,
3976,Madden NFL 08,Wii,2007.0,Sports,,,EA Sports  ,EA Tiburon  ,0.8,0.0,,0.07,0.88
3977,Metal Gear Ac!d,PSP,2005.0,Strategy,7.4,,Konami  ,Konami  ,0.32,0.26,0.12,0.17,0.87
3978,Crimson Skies: High Road to Revenge,XB,2003.0,Simulation,,,Microsoft Game Studios  ,FASA Studio  ,0.65,0.19,,0.03,0.87
3979,Spec Ops: Ranger Elite,PS,2001.0,Shooter,,,Take-Two Interactive  ,Runecraft  ,0.49,0.33,,0.06,0.87
3980,Gex,PS,1995.0,Platform,,,Crystal Dynamics  ,Crystal Dynamics  ,0.49,0.33,,0.06,0.87
3981,Minecraft: Story Mode,PS4,2015.0,Adventure,,,Mojang  ,Telltale Games  ,0.31,0.42,,0.14,0.87
3982,Peppa Pig: The Game,DS,2008.0,Misc,,,Pinnacle  ,Asylum Entertainment  ,,0.81,,0.06,0.87
3983,Michael Jackson: The Experience,X360,2011.0,Misc,5.6,,Ubisoft  ,Ubisoft Montreal  ,0.62,0.18,0.0,0.07,0.87
3984,Derby Stallion II,SNES,1994.0,Sports,,,ASCII Entertainment  ,ASCII Entertainment  ,,,0.87,0.0,0.87
3985,Tom Clancy's Ghost Recon: Island Thunder,XB,2003.0,Shooter,,,Ubisoft  ,Red Storm Entertainment  ,0.61,0.24,,0.03,0.87
3986,Sleeping Dogs,X360,2012.0,Action-Adventure,7.9,,Square Enix  ,United Front Games  ,0.38,0.4,0.01,0.08,0.87
3987,Kingdoms of Amalur: Reckoning,X360,2012.0,Role-Playing,,,Electronic Arts  ,38 Studios  ,0.55,0.24,0.01,0.07,0.87
3988,LEGO Dimensions,X360,2015.0,Action,,,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.49,0.31,,0.08,0.87
3989,Need for Speed: V-Rally,PS,1997.0,Racing,,,Electronic Arts  ,Infogrames  ,0.43,0.29,0.09,0.06,0.87
3990,Kingdom Hearts Re: Chain of Memories,PS2,2008.0,Role-Playing,7.2,,Square Enix  ,Jupiter Corporation  ,0.73,0.03,,0.12,0.87
3991,Final Fantasy XIV Online,PS3,2013.0,MMO,,,Square Enix  ,Square Enix  ,0.39,0.09,0.28,0.11,0.87
3992,Super Bomberman R,NS,2017.0,Puzzle,6.3,,Konami Digital Entertainment  ,HexaDrive  ,0.31,0.32,0.19,0.06,0.87
3993,The Evil Within,PS3,2014.0,Misc,,,Bethesda Softworks  ,Tango Gameworks  ,0.27,0.35,0.13,0.12,0.87
3994,NFL GameDay '97,PS,1996.0,Sports,,,Sony Computer Entertainment  ,SCEA  ,0.48,0.33,,0.06,0.87
3995,Paper Mario: Color Splash,WiiU,2016.0,Action-Adventure,7.4,6.4,Nintendo  ,Intelligent Systems  ,0.35,0.37,0.08,0.06,0.87
3996,Tony Hawk's Project 8,PS2,2006.0,Sports,6.6,,Activision  ,Shaba Games  ,0.72,0.03,,0.12,0.87
3997,Grand Theft Auto IV,PC,2008.0,Action,9.2,,Rockstar Games  ,Rockstar Toronto  ,0.01,0.8,,0.06,0.87
3998,NHL 2000,PS,1999.0,Sports,,,EA Sports  ,EA Canada  ,0.48,0.33,,0.06,0.87
3999,Cooking Mama: World Kitchen,Wii,2008.0,Simulation,,,Majesco  ,Cooking Mama Limited  ,0.51,0.27,0.01,0.08,0.87
4000,GRID,X360,2008.0,Racing,8.7,,Codemasters  ,Codemasters  ,0.33,0.44,0.01,0.09,0.87
4001,DiRT,X360,2007.0,Racing,8.4,,Codemasters  ,Codemasters  ,0.38,0.4,,0.09,0.87
4002,Red Faction: Guerrilla,X360,2009.0,Shooter,8.4,,THQ  ,Volition Inc.  ,0.48,0.29,0.01,0.09,0.87
4003,Fight Night Round 2,PS2,2005.0,Fighting,,,EA Sports  ,EA Sports  ,0.72,0.03,,0.12,0.87
4004,Mario Party: Star Rush,3DS,2016.0,Party,6.2,,Nintendo  ,"Nd Cube Co., Ltd.  ",0.25,0.37,0.2,0.05,0.87
4005,Conflict: Desert Storm,XB,2002.0,Shooter,,,Gotham Games  ,Pivotal Games  ,0.48,0.37,,0.02,0.87
