Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
65,Uncharted,Series,2007.0,Shooter,,,Sony Computer Entertainment  ,Naughty Dog  ,,,,,
66,Wii Fit,Series,2008.0,Misc,,,Nintendo  ,Nintendo  ,,,,,
67,Star Wars: Battlefront,Series,2004.0,Shooter,,,LucasArts  ,Pandemic Studios  ,,,,,
68,Harry Potter,Series,2001.0,Action-Adventure,,,Electronic Arts  ,Griptonite Games  ,,,,,
69,BioShock,Series,2007.0,Shooter,,,2K Games  ,Irrational Games  ,,,,,
70,Gears of War,Series,2006.0,Shooter,,,Microsoft Game Studios  ,Epic Games  ,,,,,
71,Spider-Man,Series,1982.0,Action-Adventure,,,Parker Brothers  ,Parker Brothers  ,,,,,
72,World of WarCraft,Series,2004.0,MMO,,,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,
73,Total War,Series,2000.0,Strategy,,,Electronic Arts  ,Creative Assembly  ,,,,,
74,Super Mario Bros.,NES,1985.0,Platform,10.0,8.2,Nintendo  ,Nintendo EAD  ,29.08,3.58,6.81,0.77,40.24
75,Animal Crossing: New Horizons,NS,2020.0,Simulation,,,Nintendo  ,Nintendo  ,,,,,
76,Counter-Strike: Global Offensive,PC,2012.0,Shooter,,,Valve  ,Valve Corporation  ,,,,,
77,Guitar Hero,Series,2005.0,Music,,,Activision  ,Harmonix  ,,,,,
78,The Witcher 3: Wild Hunt,All,2015.0,Role-Playing,,,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,,,
79,Medal of Honor,Series,1999.0,Shooter,,,Electronic Arts  ,"2015, Inc.  ",,,,,
80,Mega Man,Series,1987.0,Platform,,,Capcom  ,Capcom  ,,,,,
81,Mario Kart Wii,Wii,2008.0,Racing,8.2,9.1,Nintendo  ,Nintendo EAD  ,15.91,12.92,3.8,3.35,35.98
82,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017.0,Shooter,,,PUBG Corporation  ,PUBG Corporation  ,,,,,
83,Kingdom Hearts,Series,2002.0,Role-Playing,,,Square  ,Square  ,,,,,
84,Tom Clancy's Rainbow Six,Series,1998.0,Shooter,,,Red Storm Entertainment  ,Ubisoft  ,,,,,
85,Souls,Series,2009.0,Role-Playing,,,Atlus  ,From Software  ,,,,,
86,Brain Age,Series,2006.0,Puzzle,,,Nintendo  ,Nintendo  ,,,,,
87,NBA Live,Series,1994.0,Sports,,,EA Sports  ,EA Canada  ,,,,,
88,Tom Clancy's Ghost Recon,Series,2001.0,Shooter,,,Ubisoft  ,Red Storm Entertainment  ,,,,,
89,Dark Souls,Series,2011.0,Role-Playing,,,Namco Bandai Games  ,From Software  ,,,,,
90,Football Manager,Series,2004.0,Simulation,,,Sega  ,Sports Interactive  ,,,,,
91,Minecraft,PC,2010.0,Misc,10.0,,Mojang  ,Mojang AB  ,,,,,
92,Wii Sports Resort,Wii,2009.0,Sports,8.0,8.8,Nintendo  ,Nintendo EAD  ,15.61,10.99,3.29,3.02,32.9
93,Half-life,Series,1998.0,Shooter,,,Sierra Studios  ,Valve  ,,,,,
94,Saints Row,Series,2006.0,Sandbox,,,THQ  ,Volition  ,,,,,
95,Pokémon Red / Green / Blue Version,GB,1998.0,Role-Playing,9.4,,Nintendo  ,Game Freak  ,11.27,8.89,10.22,1.0,31.37
96,Tony Hawk's,Series,1999.0,Sports,,,Activision  ,Neversoft  ,,,,,
97,Call of Duty: Black Ops II,All,2012.0,Shooter,,,Activision  ,Treyarch  ,,,,,
98,Tom Clancy's Splinter Cell,Series,2002.0,Action-Adventure,,,Ubisoft  ,Ubisoft  ,,,,,
99,Age of Empires,Series,1997.0,Strategy,,,Microsoft  ,Ensemble Studios  ,,,,,
100,New Super Mario Bros.,DS,2006.0,Platform,9.1,8.1,Nintendo  ,Nintendo EAD  ,11.28,9.19,6.5,2.89,29.85
