Name,Platform,Year,Genre,Critic_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
Tomb Raider (2013),PS3,2013,Action,8.9,Square Enix  ,Crystal Dynamics  ,0.6,1.45,0.08,0.38,2.51
Midnight Club: Los Angeles,PS3,2008,Racing,8.3,Rockstar Games  ,Rockstar San Diego  ,1.59,0.54,0.05,0.33,2.51
Crisis Core: Final Fantasy VII,PSP,2008,Role-Playing,8.1,Square Enix  ,Square Enix  ,1.35,0.6,0.8,0.44,3.19
Dance Central,X360,2010,Music,8.4,MTV Games  ,Harmonix Music Systems  ,2.15,0.76,0.01,0.26,3.1799999999999997
Final Fantasy Tactics,PS,1998,Role-Playing,8.8,Sony Computer Entertainment  ,SquareSoft  ,0.93,0.12,1.34,0.06,2.45
Forza Horizon 3,XOne,2016,Racing,9.0,Microsoft Studios  ,Playground Games  ,1.64,1.96,0.02,0.32,3.9399999999999995
Saints Row: The Third,PS3,2011,Action,8.3,THQ  ,Volition Inc.  ,0.86,1.06,0.18,0.37,2.47
Pure,X360,2008,Racing,8.3,Disney Interactive Studios  ,Black Rock Studio  ,1.38,0.84,0.0,0.25,2.4699999999999998
WarioWare Touched!,DS,2005,Puzzle,7.8,Nintendo  ,Intelligent Systems  ,0.51,0.45,1.21,0.13,2.3
Resistance 2,PS3,2008,Shooter,8.5,Sony Computer Entertainment  ,Insomniac Games  ,1.15,0.84,0.1,0.38,2.4699999999999998
Mario Party 4,GC,2002,Misc,7.0,Nintendo  ,Hudson Soft  ,1.13,0.36,0.92,0.07,2.4799999999999995
Xenoblade Chronicles 2,NS,2017,Role-Playing,8.2,Nintendo  ,Monolith Soft  ,0.55,0.52,0.24,0.1,1.4100000000000001
Sonic Adventure,DC,1999,Platform,8.9,Sega  ,Sonic Team  ,1.26,0.61,0.46,0.08,2.41
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,8.2,Ubisoft  ,Ubisoft Montreal  ,1.56,0.61,0.02,0.23,2.42
God of War Collection,PS3,2009,Action,9.2,Sony Computer Entertainment  ,Bluepoint Games  ,1.7,0.45,0.06,0.4,2.61
Kinect: Disneyland Adventures,X360,2011,Action-Adventure,8.5,Microsoft Studios  ,Frontier Developments  ,1.73,0.43,0.02,0.23,2.41
Pro Evolution Soccer 2011,PS3,2010,Sports,6.0,Konami  ,Konami  ,0.29,1.18,0.54,0.41,2.42
Pokémon Colosseum,GC,2004,Role-Playing,7.0,Nintendo  ,Genius Sonority Inc.  ,1.21,0.57,0.7,0.07,2.5499999999999994
Halo: Combat Evolved Anniversary,X360,2011,Shooter,8.0,Microsoft Studios  ,343 Industries  ,1.44,0.71,0.04,0.22,2.41
Midnight Club: Los Angeles,X360,2008,Racing,8.0,Rockstar Games  ,Rockstar San Diego  ,1.72,0.45,0.01,0.22,2.4
Dino Crisis,PS,1999,Action,8.9,Capcom  ,Capcom Production Studio 4  ,0.81,0.76,0.7,0.14,2.41
Monster Hunter Freedom 2,PSP,2007,Role-Playing,7.6,Capcom  ,Capcom  ,0.37,0.27,1.75,0.18,2.5700000000000003
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,6.8,Sega  ,Sega  ,1.12,1.9,0.27,0.43,3.72
The Incredibles,PS2,2004,Action,5.9,THQ  ,Heavy Iron Studios  ,0.96,1.08,0.04,0.3,2.38
The Legend of Zelda: The Wind Waker,WiiU,2013,Action-Adventure,9.3,Nintendo  ,Nintendo EAD  ,1.04,0.73,0.15,0.17,2.09
Fire Emblem: Awakening,3DS,2013,Role-Playing,9.0,Nintendo  ,Intelligent Systems  ,0.9,0.5,0.56,0.14,2.1
Pokémon Ranger: Shadows of Almia,DS,2008,Role-Playing,6.7,Nintendo  ,HAL Laboratory  ,0.94,0.54,0.62,0.18,2.2800000000000002
WarioWare: Smooth Moves,Wii,2007,Puzzle,8.2,Nintendo  ,Intelligent Systems  ,0.86,1.05,0.73,0.26,2.9000000000000004
Kinect Sports: Season Two,X360,2011,Sports,6.6,Microsoft Studios  ,Rare Ltd.  ,1.38,0.72,0.02,0.21,2.3299999999999996
Art Academy,DS,2010,Misc,6.8,Nintendo  ,Headstrong Games  ,0.26,1.66,0.33,0.27,2.52
Mario Tennis,N64,2000,Sports,8.8,Nintendo  ,Camelot Software Planning  ,0.78,0.4,1.06,0.07,2.31
Grand Theft Auto,PS,1998,Action,6.0,Take-Two Interactive  ,DMA Design  ,0.79,1.35,0.04,0.14,2.3200000000000003
The Sims 3,X360,2010,Simulation,8.0,Electronic Arts  ,The Sims Studio  ,1.28,0.82,0.0,0.2,2.3000000000000003
Final Fantasy III,DS,2006,Role-Playing,7.4,Square Enix  ,Matrix Software  ,0.89,0.04,1.07,0.09,2.09
Resident Evil 4,PS2,2005,Action,9.6,Capcom  ,Capcom Production Studio 4  ,2.08,0.83,0.46,0.25,3.62
Dead Island,PS3,2011,Action,6.7,Deep Silver  ,Techland  ,1.08,0.74,0.15,0.32,2.29
Pro Evolution Soccer 2010,PS3,2009,Sports,7.0,Konami  ,Konami  ,0.3,1.27,0.46,0.26,2.29
Animal Crossing,GC,2002,Simulation,8.3,Nintendo  ,Nintendo EAD  ,1.92,0.16,0.99,0.09,3.16
Kirby Squeak Squad,DS,2006,Platform,7.3,Nintendo  ,"HAL Laboratory, Flagship  ",0.78,0.03,1.05,0.08,1.9400000000000002
Mario Party 10,WiiU,2015,Misc,6.3,Nintendo  ,"Nd Cube Co., Ltd.  ",0.82,0.75,0.29,0.14,2.0
No Man's Sky,PS4,2016,Action-Adventure,6.8,Hello Games  ,Hello Games  ,0.89,0.97,0.04,0.37,2.27
Guitar Hero III: Legends of Rock,PS3,2007,Misc,8.2,RedOctane  ,Neversoft  ,1.4,0.53,0.02,0.3,2.25
Super Mario All-Stars: Limited Edition,Wii,2010,Platform,7.2,Nintendo  ,Nintendo EAD  ,1.04,0.52,0.92,0.14,2.62
Air Combat,PS,1995,Simulation,7.0,Namco  ,Namco  ,0.92,0.33,0.52,0.05,1.82
The Legend of Zelda: Link's Awakening DX,GBC,1998,Adventure,9.4,Nintendo  ,Nintendo EAD  ,1.0,0.63,0.45,0.13,2.21
Need for Speed: Hot Pursuit,X360,2010,Racing,8.8,Electronic Arts  ,Criterion Games  ,1.03,0.96,0.0,0.21,2.2
BioShock 2,X360,2010,Shooter,8.6,2K Games  ,2K Marin  ,1.45,0.54,0.02,0.2,2.21
Final Fantasy XIII,X360,2010,Role-Playing,8.1,Square Enix  ,Square Enix  ,1.3,0.67,0.01,0.21,2.1900000000000004
Donkey Kong Country,GBC,2000,Platform,9.1,Nintendo  ,Rare Ltd.  ,1.04,0.72,0.3,0.13,2.19
Pro Evolution Soccer 2012,PS3,2011,Sports,7.5,Konami  ,Konami  ,0.34,0.97,0.55,0.32,2.18
Need for Speed: Payback,PS4,2017,Racing,5.8,Electronic Arts  ,Ghost Games  ,0.62,1.18,0.04,0.34,2.1799999999999997
Mario Party 5,GC,2003,Misc,5.9,Nintendo  ,Hudson Soft  ,0.97,0.33,0.73,0.06,2.0900000000000003
Star Wars: Rogue Squadron,N64,1998,Simulation,9.0,LucasArts  ,Factor 5  ,1.6,0.46,0.08,0.03,2.17
Devil May Cry,PS2,2001,Action,9.1,Capcom  ,Capcom  ,1.36,0.86,0.64,0.13,2.99
Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,8.8,Nintendo  ,AlphaDream Corporation  ,1.48,0.17,0.47,0.06,2.18
Mario & Sonic at the Olympic Games,Wii,2007,Sports,7.2,Sega  ,Sega  ,2.57,3.87,0.66,0.9,8.0
Captain Toad: Treasure Tracker,NS,2018,Puzzle,8.1,Nintendo  ,Nintendo EPD  ,0.31,0.31,0.17,0.06,0.8500000000000001
NBA 2K12,PS3,2011,Sports,9.0,2K Sports  ,Visual Concepts  ,1.62,0.27,0.05,0.18,2.12
Resistance: Fall of Man,PS3,2006,Shooter,8.5,Sony Computer Entertainment  ,Insomniac Games  ,1.74,1.72,0.14,0.76,4.36
NBA 2K11,X360,2010,Sports,8.8,2K Sports  ,Visual Concepts  ,1.86,0.12,0.01,0.13,2.12
PES 2009: Pro Evolution Soccer,PS3,2008,Sports,7.7,Konami  ,Konami  ,0.11,1.34,0.4,0.26,2.1100000000000003
Need for Speed: Hot Pursuit 2,PS2,2002,Racing,8.7,Electronic Arts  ,EA Seattle  ,1.68,0.31,0.02,0.09,2.0999999999999996
Killzone: Shadow Fall,PS4,2013,Shooter,9.0,Sony Computer Entertainment  ,Guerrilla Games  ,0.89,1.58,0.08,0.47,3.0200000000000005
Kirby: Nightmare in Dream Land,GBA,2002,Platform,8.1,Nintendo  ,HAL Laboratory  ,1.22,0.1,0.91,0.04,2.27
Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,8.5,Capcom  ,Capcom  ,0.62,0.44,1.06,0.13,2.25
Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,7.4,Electronic Arts  ,EA Black Box  ,1.77,0.13,0.02,0.17,2.09
Grand Theft Auto: Episodes from Liberty City,PS3,2010,Adventure,9.0,Rockstar Games  ,Rockstar North  ,0.62,0.99,0.13,0.34,2.0799999999999996
Portal 2,X360,2011,Shooter,9.6,Valve  ,Valve Software  ,1.41,0.49,0.01,0.17,2.08
Mario Party 7,GC,2005,Misc,6.0,Nintendo  ,Hudson Soft  ,0.95,0.11,0.46,0.04,1.56
Metal Gear Solid: Peace Walker,PSP,2010,Action,8.6,Konami  ,Kojima Productions  ,0.46,0.42,0.96,0.25,2.09
UFC 2009 Undisputed,X360,2009,Fighting,8.4,THQ  ,Yuke's Osaka  ,1.48,0.39,0.0,0.19,2.06
Professor Layton and the Last Specter,DS,2011,Adventure,8.4,Nintendo  ,Level 5  ,0.28,1.41,0.68,0.32,2.69
The Incredibles,GBA,2004,Action,5.4,THQ  ,Helixe  ,1.15,0.77,0.04,0.1,2.06
Call of Duty 2,X360,2005,Shooter,8.8,Activision  ,Infinity Ward  ,1.84,0.04,0.01,0.16,2.0500000000000003
R4: Ridge Racer Type 4,PS,1999,Racing,9.1,Namco  ,Namco  ,0.68,0.46,0.79,0.13,2.06
Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,8.6,Ubisoft  ,Ubisoft Montreal  ,1.2,0.62,0.04,0.19,2.05
Need for Speed: Undercover,PS3,2008,Racing,5.9,Electronic Arts  ,EA Vancouver  ,0.63,1.01,0.05,0.38,2.0700000000000003
Need for Speed: ProStreet,X360,2007,Racing,7.1,Electronic Arts  ,EA Black Box  ,1.04,0.79,0.01,0.21,2.0500000000000003
Dark Souls,PS3,2011,Role-Playing,9.0,Namco Bandai  ,From Software  ,0.75,0.53,0.54,0.22,2.04
Need for Speed: ProStreet,PS3,2007,Racing,7.2,Electronic Arts  ,EA Black Box  ,0.73,0.91,0.04,0.36,2.04
Dead or Alive 3,XB,2001,Fighting,8.3,Tecmo  ,Team Ninja  ,1.19,0.29,0.24,0.06,1.78
LEGO City Undercover: The Chase Begins,3DS,2013,Action,6.2,Nintendo  ,TT Fusion  ,0.54,0.99,0.08,0.12,1.73
PGR4 - Project Gotham Racing 4,X360,2007,Racing,8.6,Microsoft Game Studios  ,Bizarre Creations  ,0.48,1.28,0.02,0.25,2.0300000000000002
Dance Central 2,X360,2011,Music,8.6,Microsoft  ,Harmonix Music Systems  ,1.45,0.41,0.01,0.16,2.03
Dragon Quest XI: Echoes of an Elusive Age,PS4,2018,Role-Playing,9.5,Square Enix  ,Square Enix  ,0.29,0.22,1.43,0.1,2.04
1080°: TenEighty Snowboarding,N64,1998,Sports,9.1,Nintendo  ,Nintendo EAD  ,1.25,0.61,0.13,0.05,2.0399999999999996
Mario Hoops 3 on 3,DS,2006,Sports,7.1,Nintendo  ,Square Enix  ,0.98,0.04,0.49,0.09,1.6
The Sims 3,PS3,2010,Simulation,8.1,Electronic Arts  ,The Sims Studio  ,0.73,0.96,0.02,0.31,2.02
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,8.8,Nintendo  ,Retro Studios  ,0.74,0.68,0.16,0.13,1.71
Onimusha: Warlords,PS2,2001,Action,8.7,Capcom  ,Flagship  ,0.99,0.48,1.09,0.14,2.7
Need for Speed: The Run,PS3,2011,Racing,6.3,Electronic Arts  ,EA Black Box  ,0.58,1.05,0.03,0.35,2.01
Dragon Ball FighterZ,NS,2018,Fighting,9.0,Bandai Namco Entertainment  ,Arc System Works  ,0.21,0.13,0.07,0.03,0.43999999999999995
Bloodborne,PS4,2015,Role-Playing,8.2,Sony Computer Entertainment  ,From Software  ,1.3,1.05,0.28,0.48,3.11
Deca Sports,Wii,2008,Sports,5.3,Hudson Soft  ,CAProduction  ,1.11,0.86,0.29,0.25,2.5100000000000002
Disney Epic Mickey,Wii,2010,Platform,7.0,Disney Interactive Studios  ,Junction Point Studios  ,2.04,0.63,0.12,0.23,3.02
Dragon Quest Monsters: Joker 2,DS,2011,Role-Playing,8.1,Nintendo  ,TOSE Software  ,0.09,0.07,1.24,0.02,1.42
Driveclub,PS4,2014,Racing,7.2,Sony Computer Entertainment  ,Evolution Studios  ,0.37,1.63,0.02,0.36,2.38
inFAMOUS,PS3,2009,Action,8.7,Sony Computer Entertainment  ,Sucker Punch Productions  ,1.76,0.68,0.12,0.42,2.98
Mario + Rabbids: Kingdom Battle,NS,2017,Strategy,8.3,Ubisoft  ,Ubisoft Milan  ,1.1,1.08,0.22,0.2,2.6000000000000005
Saints Row,X360,2006,Action,8.0,THQ  ,Volition Inc.  ,1.17,0.77,0.02,0.22,2.18
Silent Hill,PS,1999,Adventure,8.9,Konami  ,KCET  ,0.71,0.48,0.3,0.1,1.59
Your Shape: Fitness Evolved,X360,2010,Sports,7.0,Ubisoft  ,Ubisoft Montreal  ,0.79,0.41,0.0,0.12,1.3199999999999998
Tenchu: Stealth Assassins,PS,1998,Action,8.8,Activision  ,Acquire  ,0.95,0.64,0.27,0.13,1.9899999999999998
Harry Potter and the Chamber of Secrets,GBA,2002,Adventure,7.2,Electronic Arts  ,Eurocom Entertainment Software  ,1.21,0.64,0.05,0.09,1.9900000000000002
Just Cause 3,PS4,2015,Action-Adventure,7.5,Square Enix  ,Avalanche Studios  ,0.53,1.07,0.09,0.3,1.9900000000000002
Mario Sports Mix,Wii,2011,Sports,6.0,Nintendo  ,Square Enix  ,0.88,0.45,0.63,0.12,2.08
Hot Shots Golf: Open Tee,PSP,2005,Sports,8.4,Sony Computer Entertainment  ,Clap Hanz  ,0.5,0.5,0.63,0.33,1.96
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,8.8,Ubisoft  ,Ubisoft Montreal  ,1.09,0.65,0.02,0.2,1.9600000000000002
Pokémon Battle Revolution,Wii,2007,Role-Playing,5.2,Nintendo  ,Genius Sonority Inc.  ,0.78,0.37,0.3,0.13,1.58
Burnout Paradise,PS3,2008,Racing,9.0,Electronic Arts  ,Criterion Games  ,1.01,0.63,0.02,0.28,1.9400000000000002
FIFA Soccer 09,X360,2008,Sports,8.7,Electronic Arts  ,EA Canada  ,0.49,1.26,0.01,0.18,1.94
The Legend of Zelda: Oracle of Ages,GBC,2001,Adventure,9.4,Nintendo  ,Flagship  ,0.92,0.53,0.41,0.06,1.9200000000000002
Need for Speed: Shift,X360,2009,Racing,8.2,Electronic Arts  ,Slightly Mad Studios  ,0.73,0.96,0.01,0.22,1.92
Mario Party 3,N64,2001,Misc,7.0,Nintendo  ,Hudson Soft  ,0.72,0.16,1.01,0.02,1.9100000000000001
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,9.0,Nintendo  ,Intelligent Systems  ,1.48,0.25,0.46,0.06,2.25
Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,9.2,LucasArts  ,Factor 5  ,1.03,0.75,0.03,0.09,1.9000000000000001
Tomb Raider (2013),X360,2013,Action,8.5,Square Enix  ,Crystal Dynamics  ,0.86,0.87,0.01,0.16,1.9
Dissidia: Final Fantasy,PSP,2009,Fighting,8.1,Square Enix  ,Square Enix  ,0.51,0.51,0.91,0.31,2.24
Dragon Quest Monsters: Joker,DS,2007,Role-Playing,7.6,Square Enix  ,TOSE Software  ,0.23,0.03,1.49,0.02,1.77
Monster Hunter Tri,Wii,2010,Role-Playing,8.1,Capcom  ,Capcom Production Studio 1  ,0.65,0.41,1.05,0.11,2.22
Octopath Traveler,NS,2018,Role-Playing,8.1,Nintendo  ,Square Enix  ,0.49,0.23,0.23,0.07,1.02
Parasite Eve,PS,1998,Role-Playing,7.9,Square EA  ,SquareSoft  ,0.94,0.07,1.05,0.04,2.1
Minecraft,NS,2018,Sandbox,9.2,Mojang  ,4J Studios  ,0.69,0.56,0.52,0.12,1.8900000000000001
Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,8.7,Sony Computer Entertainment  ,Insomniac Games  ,1.05,0.55,0.03,0.26,1.8900000000000001
Madden NFL 09,PS3,2008,Sports,8.6,EA Sports  ,EA Tiburon  ,1.56,0.15,0.0,0.18,1.89
FIFA 2000,PS,1999,Sports,8.8,EA Sports  ,EA Canada  ,0.22,1.47,0.04,0.14,1.87
inFAMOUS 2,PS3,2011,Action,8.1,Sony Computer Entertainment  ,Sucker Punch Productions  ,1.05,0.48,0.08,0.26,1.87
Star Wars: The Force Unleashed,Wii,2008,Action,6.8,LucasArts  ,Krome Studios  ,1.11,0.56,0.0,0.19,1.86
The Legend of Zelda: Oracle of Seasons,GBC,2001,Adventure,9.3,Nintendo  ,Flagship  ,0.87,0.52,0.41,0.06,1.86
Shrek 2,PS2,2004,Platform,6.9,Activision  ,"Luxoflux, Inc.  ",1.12,0.69,0.03,0.02,1.86
The Legend of Dragoon,PS,2000,Role-Playing,7.8,Sony Computer Entertainment  ,SCEI  ,0.94,0.44,0.39,0.1,1.87
The Evil Within,PS4,2014,Action,7.7,Bethesda Softworks  ,Tango Gameworks  ,0.56,0.9,0.11,0.28,1.85
Kirby's Epic Yarn,Wii,2010,Platform,8.7,Nintendo  ,Good-Feel  ,1.42,0.09,0.45,0.13,2.09
Forza Horizon 4,XOne,2018,Racing,9.2,Microsoft Studios  ,Playground Games  ,0.74,0.95,0.01,0.15,1.8499999999999999
Secret of Mana,SNES,1993,Role-Playing,9.1,Square  ,SquareSoft  ,0.25,0.07,1.49,0.02,1.83
Donkey Kong Country,GBA,2003,Platform,7.5,Nintendo  ,Rare Ltd.  ,1.2,0.48,0.29,0.07,2.04
Star Fox Adventures,GC,2002,Adventure,8.1,Nintendo  ,Rare Ltd.  ,0.96,0.53,0.3,0.09,1.8800000000000001
BioShock Infinite,PS3,2013,Shooter,9.5,2K Games  ,Irrational Games  ,0.74,0.74,0.04,0.3,1.82
The Orange Box,X360,2007,Shooter,9.7,Electronic Arts  ,Valve Software  ,1.09,0.53,0.02,0.17,1.81
Crazy Taxi,DC,2000,Racing,9.3,Sega  ,Hitmaker  ,1.1,0.51,0.12,0.08,1.81
Dead Rising,X360,2006,Action,8.4,Capcom  ,Capcom Production Studio 1  ,1.16,0.65,0.08,0.2,2.0900000000000003
EA Sports Active,Wii,2009,Sports,8.3,EA Sports  ,EA Vancouver  ,2.11,1.35,0.06,0.4,3.92
Guitar Hero,PS2,2005,Misc,8.0,RedOctane  ,Harmonix Music Systems  ,1.67,0.61,0.03,0.07,2.3799999999999994
Sonic Colors,Wii,2010,Platform,7.7,Sega  ,Sonic Team  ,0.95,0.61,0.01,0.16,1.73
Kirby's Return to Dreamland,Wii,2011,Platform,7.6,Nintendo  ,HAL Laboratory  ,0.58,0.21,0.79,0.07,1.6500000000000001
New Play Control! Mario Power Tennis,Wii,2009,Sports,6.6,Nintendo  ,Camelot Software Planning  ,0.35,0.69,0.28,0.14,1.46
Wii Party U,WiiU,2013,Party,6.6,Nintendo  ,"Nd Cube Co., Ltd.  ",0.3,0.66,0.84,0.08,1.88
Kirby 64: The Crystal Shards,N64,2000,Platform,7.9,Nintendo  ,HAL Laboratory  ,0.63,0.06,1.03,0.04,1.76
UFC 2009 Undisputed,PS3,2009,Fighting,8.4,THQ  ,Yuke's Osaka  ,1.07,0.45,0.01,0.24,1.77
The Legend of Zelda: The Minish Cap,GBA,2005,Adventure,8.9,Nintendo  ,Flagship  ,0.89,0.22,0.22,0.1,1.4300000000000002
Just Cause 2,PS3,2010,Action,8.3,Square Enix  ,Avalanche Studios  ,0.45,0.92,0.06,0.32,1.7500000000000002
FIFA Soccer 08,PS3,2007,Sports,8.5,EA Sports  ,EA Canada  ,0.35,1.07,0.02,0.31,1.75
Mario & Luigi: Partners in Time,DS,2005,Role-Playing,8.8,Nintendo  ,AlphaDream Corporation  ,0.74,0.05,0.43,0.07,1.29
Metroid II: Return of Samus,GB,1991,Adventure,7.3,Nintendo  ,Intelligent Systems  ,0.85,0.31,0.56,0.04,1.76
Titanfall 2,PS4,2016,Shooter,8.9,Electronic Arts  ,Respawn Entertainment  ,0.75,0.62,0.06,0.28,1.7100000000000002
Portal 2,PS3,2011,Shooter,9.6,Valve  ,Valve Software  ,0.83,0.62,0.02,0.24,1.71
Chrono Cross,PS,2000,Role-Playing,9.7,Square EA  ,SquareSoft  ,0.62,0.42,0.69,0.12,1.85
Devil May Cry 2,PS2,2003,Action,6.5,Capcom  ,Capcom  ,0.71,0.58,0.51,0.17,1.97
Dragon Quest V: Hand of the Heavenly Bride,DS,2009,Role-Playing,8.6,Square Enix  ,ArtePiazza  ,0.17,0.02,1.36,0.02,1.57
Dragon Quest VI: Realms of Revelation,DS,2011,Role-Playing,7.6,Nintendo  ,ArtePiazza  ,0.2,0.15,1.35,0.03,1.7300000000000002
Final Fantasy II,SNES,1991,Role-Playing,10.0,Square  ,Square  ,0.24,0.09,1.33,0.12,1.7800000000000002
Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,7.5,Square Enix  ,High Horse Entertainment  ,1.06,0.26,0.53,0.13,1.98
Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,7.9,Square Enix  ,Square Enix  ,0.63,0.42,0.75,0.27,2.0700000000000003
Lost Planet: Extreme Condition,X360,2007,Shooter,7.6,Capcom  ,Capcom  ,1.09,0.04,0.1,0.1,1.3300000000000003
Super Princess Peach,DS,2006,Platform,7.8,Nintendo  ,TOSE Software  ,0.7,0.05,0.21,0.07,1.03
Tekken 6,X360,2009,Fighting,7.8,Namco Bandai  ,Namco Bandai Games  ,0.71,0.41,0.05,0.13,1.2999999999999998
The Legend of Zelda: Breath of the Wild,WiiU,2017,Action-Adventure,10.0,Nintendo  ,Nintendo EPD  ,0.66,0.42,0.15,0.11,1.34
Need for Speed: Undercover,X360,2008,Racing,6.3,Electronic Arts  ,EA Vancouver  ,0.8,0.7,0.01,0.18,1.69
Harry Potter and the Sorcerer's Stone,GBA,2001,Action,6.6,Electronic Arts  ,Griptonite Games  ,0.87,0.66,0.08,0.08,1.6900000000000002
Far Cry 4,XOne,2014,Shooter,8.5,Ubisoft  ,Ubisoft Montreal  ,0.85,0.68,0.02,0.14,1.69
Saints Row 2,PS3,2008,Action,7.9,THQ  ,Volition Inc.  ,0.88,0.54,0.02,0.24,1.68
Time Crisis,PS,1997,Shooter,8.5,Namco  ,Namco  ,0.38,0.87,0.33,0.1,1.6800000000000002
Virtua Fighter 4,PS2,2002,Fighting,9.3,Sega  ,Sega-AM2  ,0.78,0.44,0.56,0.04,1.82
Dragon Age: Origins,PS3,2009,Role-Playing,8.7,Electronic Arts  ,BioWare Edmonton  ,0.96,0.42,0.08,0.21,1.67
PGR: Project Gotham Racing 2,XB,2003,Racing,8.9,Microsoft Game Studios  ,Bizarre Creations  ,0.97,0.59,0.04,0.07,1.6700000000000002
Pokémon Super Mystery Dungeon,3DS,2015,Role-Playing,7.7,Nintendo  ,ChunSoft  ,0.51,0.46,0.35,0.09,1.41
Golden Sun,GBA,2001,Role-Playing,9.1,Nintendo  ,Camelot Software Planning  ,0.93,0.38,0.4,0.06,1.77
MySims,Wii,2007,Simulation,7.1,Electronic Arts  ,EA Redwood Shores  ,0.9,0.54,0.04,0.17,1.65
Need for Speed Carbon,X360,2006,Racing,7.9,Electronic Arts  ,EA Black Box  ,0.76,0.69,0.02,0.18,1.65
Army of Two,X360,2008,Shooter,6.7,Electronic Arts  ,EA Montreal  ,1.09,0.37,0.02,0.16,1.64
Sonic Mega Collection,GC,2002,Misc,7.5,Sega  ,Sonic Team  ,1.47,0.48,0.05,0.06,2.06
Wii Play: Motion,Wii,2011,Misc,5.2,Nintendo  ,Nintendo EAD  ,0.23,0.43,0.18,0.08,0.92
Mario Party 6,GC,2004,Misc,7.2,Nintendo  ,Hudson Soft  ,0.9,0.11,0.6,0.05,1.66
Ape Escape,PS,1999,Platform,9.3,Sony Computer Entertainment  ,SCE Japan Studio  ,0.71,0.48,0.32,0.11,1.62
Kinectimals,X360,2010,Simulation,7.5,Microsoft Game Studios  ,Frontier Studio  ,1.02,0.46,0.0,0.14,1.62
Uncharted: Golden Abyss,PSV,2012,Action,7.9,Sony Computer Entertainment  ,SCEA Bend Studio / Naughty Dog  ,0.53,0.71,0.13,0.25,1.62
The Order: 1886,PS4,2015,Shooter,6.2,Sony Computer Entertainment  ,Ready at Dawn  ,0.44,0.86,0.07,0.25,1.62
Kirby: Planet Robobot,3DS,2016,Action,7.7,Nintendo  ,HAL Laboratory  ,0.41,0.22,0.64,0.06,1.33
Rage,X360,2011,Shooter,7.9,Bethesda Softworks  ,id Software  ,0.82,0.6,0.03,0.15,1.5999999999999999
Dragon Quest IV: Chapters of the Chosen,DS,2008,Role-Playing,8.1,Square Enix  ,ArtePiazza  ,0.3,0.02,1.27,0.03,1.62
Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,7.4,Square Enix  ,Jupiter Corporation  ,1.26,0.18,0.35,0.06,1.85
Metroid Fusion,GBA,2002,Adventure,9.0,Nintendo  ,Nintendo R&D1  ,1.18,0.27,0.17,0.06,1.68
Pikmin,GC,2001,Strategy,8.1,Nintendo  ,Nintendo EAD  ,0.78,0.25,0.56,0.04,1.6300000000000001
Resident Evil 4,GC,2005,Action,9.6,Capcom  ,Capcom Production Studio 4  ,0.98,0.42,0.22,0.06,1.68
Sonic Adventure DX: Director's Cut,GC,2003,Platform,5.4,Sega  ,Sonic Team  ,0.87,0.3,0.06,0.03,1.26
Sonic Unleashed,Wii,2008,Platform,6.7,Sega  ,Sonic Team/Dimps Corporation  ,1.26,0.68,0.02,0.22,2.18
Super Mario Strikers,GC,2005,Sports,8.0,Nintendo  ,Next Level Games  ,0.98,0.38,0.2,0.04,1.5999999999999999
Just Cause 2,X360,2010,Action,8.0,Square Enix  ,Avalanche Studios  ,0.59,0.83,0.02,0.17,1.6099999999999999
Sonic Generations,PS3,2011,Platform,7.3,Sega  ,Sonic Team  ,0.6,0.72,0.02,0.25,1.5899999999999999
Far Cry 2,X360,2008,Shooter,8.5,Ubisoft  ,Ubisoft Montreal  ,0.72,0.69,0.02,0.18,1.6099999999999999
Soul Blade,PS,1997,Fighting,8.6,Namco  ,Namco  ,0.61,0.41,0.46,0.1,1.58
Pro Evolution Soccer 2008,PS3,2008,Sports,7.1,Konami  ,Konami  ,0.04,1.1,0.32,0.13,1.5900000000000003
Mario Tennis Open,3DS,2012,Sports,6.6,Nintendo  ,Camelot Software Planning  ,0.26,0.33,0.36,0.05,1.0
Devil May Cry 4,PS3,2008,Action,8.2,Capcom  ,Capcom  ,0.58,0.45,0.34,0.2,1.57
Pro Evolution Soccer 2010,PS2,2009,Sports,7.2,Konami  ,Konami  ,0.1,0.18,0.12,1.16,1.56
Yoshi's Woolly World,WiiU,2015,Platform,7.4,Nintendo  ,Good-Feel  ,0.74,0.53,0.12,0.12,1.5100000000000002
