Name,Platform,Year,Genre,Critic_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
Tomb Raider II,PS,1997,Adventure,7.6,Eidos Interactive  ,Core Design Ltd.  ,2.3,2.46,0.2,0.28,5.24
Madden NFL 2004,PS2,2003,Sports,9.5,EA Sports  ,EA Tiburon  ,4.26,0.26,0.01,0.71,5.239999999999999
Call of Duty: Advanced Warfare,XOne,2014,Shooter,8.3,Activision  ,Sledgehammer Games  ,3.25,1.49,0.01,0.48,5.23
Nintendo Land,WiiU,2012,Party,7.5,Nintendo  ,Nintendo  ,2.52,1.23,0.51,0.38,4.64
Kingdom Hearts II,PS2,2006,Role-Playing,8.3,Square Enix  ,Square Enix  ,2.2,0.58,1.38,0.17,4.33
Super Mario Land 3: Wario Land,GB,1994,Platform,7.9,Nintendo  ,Nintendo R&D1  ,2.49,0.98,1.57,0.15,5.19
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,9.3,Nintendo  ,Rare Ltd.  ,2.1,0.74,2.2,0.11,5.15
Medal of Honor: Rising Sun,PS2,2003,Shooter,5.9,Electronic Arts  ,EA Los Angeles  ,1.98,2.23,0.13,0.8,5.14
Battlefield 1,XOne,2016,Shooter,9.3,Electronic Arts  ,EA DICE  ,3.37,1.26,0.02,0.48,5.129999999999999
Resident Evil 5,PS3,2009,Action,8.6,Capcom  ,Capcom  ,1.96,1.42,1.08,0.64,5.1
Fable III,X360,2010,Role-Playing,7.8,Microsoft Game Studios  ,Lionhead Studios  ,3.59,1.09,0.05,0.37,5.1
Mario & Sonic at the Olympic Games,DS,2008,Sports,7.0,Sega  ,Sega  ,1.63,2.46,0.44,0.57,5.1000000000000005
Grand Theft Auto: Vice City Stories,PSP,2006,Action,8.4,Rockstar Games  ,Rockstar Leeds  ,1.7,2.03,0.16,1.19,5.08
FIFA Soccer 11,PS3,2010,Sports,8.7,EA Sports  ,EA Canada  ,0.61,3.28,0.06,1.12,5.07
Super Mario Bros. Deluxe,GB,1999,Platform,9.7,Nintendo  ,Nintendo EAD  ,3.4,1.3,0.15,0.22,5.07
